Scenario,Attribute,Process,Period,Region,Vintage,Timeslice,Pv
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IL_US_MO,2020,IL,0,-,3.8801569
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MD_US_PA,2020,MD,0,-,6.64922471717
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_PA_US_WV,2020,WV,0,-,2.492509978
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IL_US_KY,2020,KY,0,-,2.6226626868
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MA_US_VT,2020,VT,0,-,2.133200428
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IL_US_KY,2020,IL,0,-,2.6226626868
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_PA_US_WV,2020,PA,0,-,2.492509978
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MA_US_VT,2020,MA,0,-,2.133200428
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IL_US_IN,2020,IN,0,-,5.3592171626
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MA_US_RI,2020,RI,0,-,1.725101
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_OR_US_WA,2020,WA,0,-,16.159
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IL_US_IN,2020,IL,0,-,5.3592171626
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_ID_US_WY,2020,WY,0,-,3.7
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_OR_US_WA,2020,OR,0,-,16.159
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MA_US_RI,2020,MA,0,-,1.725101
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_ID_US_WY,2020,ID,0,-,3.7
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_OK_US_TX,2020,TX,0,-,3.759082052
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_ID_US_WA,2020,WA,0,-,13.567
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MA_US_NY,2020,NY,0,-,0.6534957934
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_ID_US_WA,2020,ID,0,-,13.567
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_OK_US_TX,2020,OK,0,-,3.759082052
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_ID_US_UT,2020,UT,0,-,1.465
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MA_US_NY,2020,MA,0,-,0.6534957934
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_ID_US_UT,2020,ID,0,-,1.465
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_OH_US_WV,2020,WV,0,-,4.583473
